x calibration: 0.00628943229094148, y calibration: 0.00262522255070508, z calibration: 0.00996489264070988
x calibration: 0.00313645624555647, y calibration: 0.00552234891802072, z calibration: 0.00725150154903531
x calibration: 0.00819337647408247, y calibration: 0.00820355489850044, z calibration: 0.00796233862638474
x calibration: 0.00545753398910165, y calibration: 0.00604038592427969, z calibration: 0.0092143677175045
x calibration: 0.00397404842078686, y calibration: 0.00462765991687775, z calibration: 0.00779519323259592
x calibration: 0.00624131970107555, y calibration: 0.00620135944336653, z calibration: 0.00872812978923321
x calibration: 0.00389011390507221, y calibration: 0.00492673646658659, z calibration: 0.013869896531105
x calibration: 0.00388571945950389, y calibration: 0.006328035145998, z calibration: 0.00559235224500298
x calibration: 0.00782197713851929, y calibration: 0.00470027606934309, z calibration: 0.0060949670150876
x calibration: 0.00824921950697899, y calibration: 0.0026545231230557, z calibration: 0.00649111764505506
x calibration: 0.0100368438288569, y calibration: 0.00477738864719868, z calibration: 0.00745833665132523
x calibration: 0.00657815998420119, y calibration: 0.00482911989092827, z calibration: 0.00981308799237013
x calibration: 0.00559930177405477, y calibration: 0.0081888847053051, z calibration: 0.0105143235996366
x calibration: 0.00905954837799072, y calibration: 0.00642778957262635, z calibration: 0.00761238904669881
x calibration: 0.00452501513063908, y calibration: 0.00956546049565077, z calibration: 0.00665707373991609
x calibration: 0.00677892845124006, y calibration: 0.0075007202103734, z calibration: 0.00732116401195526
x calibration: 0.00421745656058192, y calibration: 0.00818530563265085, z calibration: 0.00654863007366657
x calibration: 0.00711699947714806, y calibration: 0.00233407039195299, z calibration: 0.00897504296153784
x calibration: 0.00343397073447704, y calibration: 0.00592464581131935, z calibration: 0.0098650362342596
x calibration: 0.00442774826660752, y calibration: 0.00701972004026175, z calibration: 0.00481670256704092
x calibration: 0.00521469628438354, y calibration: 0.0083785317838192, z calibration: 0.00808176770806313
x calibration: 0.00499459356069565, y calibration: 0.0056288824416697, z calibration: 0.00755848083645105
x calibration: 0.00495778815820813, y calibration: 0.000663372687995434, z calibration: 0.00557295372709632
x calibration: 0.00628238543868065, y calibration: 0.00686593260616064, z calibration: 0.00642894394695759
x calibration: 0.00202599377371371, y calibration: 0.00507399486377835, z calibration: 0.0107053751125932
x calibration: 0.0054600122384727, y calibration: 0.00602087052538991, z calibration: 0.00735485972836614
x calibration: 0.00397175969555974, y calibration: 0.00475390069186688, z calibration: 0.0058381101116538
x calibration: 0.00510154711082578, y calibration: 0.00434880889952183, z calibration: 0.0135106611996889
x calibration: 0.00474898191168904, y calibration: 0.0103587694466114, z calibration: 0.00683994218707085
x calibration: 0.0073371478356421, y calibration: 0.0035830419510603, z calibration: 0.00536630675196648
x calibration: 0.00367155764251947, y calibration: 0.00699779856950045, z calibration: 0.0067367423325777
x calibration: 0.0078126322478056, y calibration: 0.00854952819645405, z calibration: 0.00695643806830049
x calibration: 0.00833375100046396, y calibration: 0.00890376791357994, z calibration: 0.00506847910583019
